[  0%]           economybisection.f90
[ 20%]           economybisection.f90  done.
[ 20%]            UsedKCollateral.f90
[ 40%]            UsedKCollateral.f90  done.
[ 40%]           libUsedKCollateral.a
[ 60%]           libUsedKCollateral.a  done.
[ 60%]                       main.f90
[ 80%]                       main.f90  done.
[ 80%]                UsedKCollateral
[100%]                UsedKCollateral  done.
[100%] Project compiled successfully.
 Start!

****************************************************
Bisection initization at point A:    0.8000   0.7000
****************************************************

 value function iteration: W-type (unconstrained)
iter               distw             distgwk                kmin                kmax
 108        1.731804E-07        0.000000E+00        7.937500E-01        6.000000E+00
 109        1.496279E-07        0.000000E+00        7.937500E-01        6.000000E+00
 110        1.292785E-07        0.000000E+00        7.937500E-01        6.000000E+00
 111        1.116966E-07        0.000000E+00        7.937500E-01        6.000000E+00
 112        9.650586E-08        0.000000E+00        7.937500E-01        6.000000E+00
 113        8.338111E-08        0.000000E+00        7.937500E-01        6.000000E+00
 114        7.204125E-08        0.000000E+00        7.937500E-01        6.000000E+00
 115        6.224366E-08        0.000000E+00        7.937500E-01        6.000000E+00
 116        5.377854E-08        5.608847E-13        7.937500E-01        6.000000E+00
 117        4.646466E-08        0.000000E+00        7.937500E-01        6.000000E+00
 118        4.014544E-08        5.608847E-13        7.937500E-01        6.000000E+00
 119        3.468568E-08        0.000000E+00        7.937500E-01        6.000000E+00
 120        2.996842E-08        0.000000E+00        7.937500E-01        6.000000E+00
 121        2.589275E-08        0.000000E+00        7.937500E-01        6.000000E+00
 122        2.237135E-08        0.000000E+00        7.937500E-01        6.000000E+00
 123        1.932881E-08        0.000000E+00        7.937500E-01        6.000000E+00
 124        1.670014E-08        0.000000E+00        7.937500E-01        6.000000E+00
 125        1.442891E-08        0.000000E+00        7.937500E-01        6.000000E+00
 126        1.246656E-08        0.000000E+00        7.937500E-01        6.000000E+00
 127        1.077115E-08        0.000000E+00        7.937500E-01        6.000000E+00
 128        9.306234E-09        0.000000E+00        7.937500E-01        6.000000E+00
 minimum saving policy for unconstrained firm (W-type)
iter                dist               bwmin               bwmax               bkmin               bkmax
========================================================================================================
   1        5.206633E+00       -5.206633E+00        1.760439E+00       -1.041327E+02        2.934065E-01
   2        4.167242E+00       -5.140393E+00        2.106314E+00       -1.028079E+02        3.510524E-01
   3        3.172970E-01       -5.140393E+00        2.423611E+00       -1.028079E+02        4.039352E-01
   4        2.028346E-01       -5.140393E+00        2.512443E+00       -1.028079E+02        4.187404E-01
   5        1.947212E-01       -5.140393E+00        2.520810E+00       -1.028079E+02        4.201350E-01
   6        1.743487E-01       -5.140393E+00        2.544222E+00       -1.028079E+02        4.240371E-01
   7        1.455510E-01       -5.140393E+00        2.580328E+00       -1.028079E+02        4.300546E-01
   8        1.308221E-01       -5.140393E+00        2.627064E+00       -1.028079E+02        4.378441E-01
   9        1.199023E-01       -5.140393E+00        2.682623E+00       -1.028079E+02        4.471038E-01
  10        1.150486E-01       -5.140393E+00        2.745411E+00       -1.028079E+02        4.575685E-01
  11        1.104466E-01       -5.140393E+00        2.814031E+00       -1.028079E+02        4.690052E-01
  12        1.027057E-01       -5.140393E+00        2.887270E+00       -1.028079E+02        4.812116E-01
  13        9.813700E-02       -5.140393E+00        2.964075E+00       -1.028079E+02        4.940125E-01
  14        9.316678E-02       -5.140393E+00        3.043536E+00       -1.028079E+02        5.072561E-01
  15        8.909084E-02       -5.140393E+00        3.124866E+00       -1.028079E+02        5.208110E-01
  16        8.521064E-02       -5.140393E+00        3.207361E+00       -1.028079E+02        5.345602E-01
  17        8.180221E-02       -5.140393E+00        3.289163E+00       -1.028079E+02        5.481939E-01
  18        7.853012E-02       -5.140393E+00        3.362667E+00       -1.028079E+02        5.604444E-01
  19        7.471558E-02       -5.140393E+00        3.420355E+00       -1.028079E+02        5.700591E-01
  20        7.130848E-02       -5.140393E+00        3.467433E+00       -1.028079E+02        5.779055E-01
  21        6.825255E-02       -5.140393E+00        3.512534E+00       -1.028079E+02        5.854223E-01
  22        6.549418E-02       -5.140393E+00        3.558244E+00       -1.028079E+02        5.930406E-01
  23        6.287442E-02       -5.140393E+00        3.604984E+00       -1.028079E+02        6.008307E-01
  24        5.876839E-02       -5.140393E+00        3.652442E+00       -1.028079E+02        6.087404E-01
  25        5.633313E-02       -5.140393E+00        3.700110E+00       -1.028079E+02        6.166850E-01
  26        5.348087E-02       -5.140393E+00        3.748179E+00       -1.028079E+02        6.246964E-01
  27        5.133353E-02       -5.140393E+00        3.796394E+00       -1.028079E+02        6.327323E-01
  28        4.908094E-02       -5.140393E+00        3.844286E+00       -1.028079E+02        6.407143E-01
  29        4.711770E-02       -5.140393E+00        3.891403E+00       -1.028079E+02        6.485672E-01
  30        4.523299E-02       -5.140393E+00        3.934959E+00       -1.028079E+02        6.558265E-01
  31        4.323991E-02       -5.140393E+00        3.971644E+00       -1.028079E+02        6.619407E-01
  32        4.141911E-02       -5.140393E+00        4.002939E+00       -1.028079E+02        6.671565E-01
  33        3.974964E-02       -5.140393E+00        4.032591E+00       -1.028079E+02        6.720985E-01
  34        3.815966E-02       -5.140393E+00        4.062270E+00       -1.028079E+02        6.770450E-01
  35        3.649040E-02       -5.140393E+00        4.091874E+00       -1.028079E+02        6.819790E-01
  36        3.486805E-02       -5.140393E+00        4.121158E+00       -1.028079E+02        6.868597E-01
  37        3.332910E-02       -5.140393E+00        4.150316E+00       -1.028079E+02        6.917194E-01
  38        3.195009E-02       -5.140393E+00        4.179550E+00       -1.028079E+02        6.965916E-01
  39        3.056822E-02       -5.140393E+00        4.208810E+00       -1.028079E+02        7.014683E-01
  40        2.928677E-02       -5.140393E+00        4.237833E+00       -1.028079E+02        7.063054E-01
  41        2.811530E-02       -5.140393E+00        4.265948E+00       -1.028079E+02        7.109913E-01
  42        2.699069E-02       -5.140393E+00        4.291894E+00       -1.028079E+02        7.153157E-01
  43        2.585794E-02       -5.140393E+00        4.314649E+00       -1.028079E+02        7.191082E-01
  44        2.479460E-02       -5.140393E+00        4.334768E+00       -1.028079E+02        7.224613E-01
  45        2.379873E-02       -5.140393E+00        4.353671E+00       -1.028079E+02        7.256118E-01
  46        2.284678E-02       -5.140393E+00        4.372045E+00       -1.028079E+02        7.286741E-01
  47        2.183290E-02       -5.140393E+00        4.390121E+00       -1.028079E+02        7.316869E-01
  48        2.087329E-02       -5.140393E+00        4.408029E+00       -1.028079E+02        7.346715E-01
  49        2.003116E-02       -5.140393E+00        4.425855E+00       -1.028079E+02        7.376425E-01
  50        1.916047E-02       -5.140393E+00        4.443663E+00       -1.028079E+02        7.406105E-01
  51        1.837910E-02       -5.140393E+00        4.461425E+00       -1.028079E+02        7.435708E-01
  52        1.755951E-02       -5.140393E+00        4.478952E+00       -1.028079E+02        7.464921E-01
  53        1.685713E-02       -5.140393E+00        4.495809E+00       -1.028079E+02        7.493016E-01
  54        1.526215E-02       -5.140393E+00        4.511072E+00       -1.028079E+02        7.518453E-01
  55        1.182391E-02       -5.140393E+00        4.522896E+00       -1.028079E+02        7.538159E-01
  56        7.055570E-03       -5.140393E+00        4.529951E+00       -1.028079E+02        7.549919E-01
  57        3.321676E-03       -5.140393E+00        4.533273E+00       -1.028079E+02        7.555455E-01
  58        1.384156E-03       -5.140393E+00        4.534657E+00       -1.028079E+02        7.557762E-01
  59        5.578199E-04       -5.140393E+00        4.535215E+00       -1.028079E+02        7.558691E-01
  60        2.281693E-04       -5.140393E+00        4.535443E+00       -1.028079E+02        7.559072E-01
  61        9.731643E-05       -5.140393E+00        4.535540E+00       -1.028079E+02        7.559234E-01
  62        4.384399E-05       -5.140393E+00        4.535584E+00       -1.028079E+02        7.559307E-01
  63        2.090638E-05       -5.140393E+00        4.535605E+00       -1.028079E+02        7.559342E-01
  64        1.048887E-05       -5.140393E+00        4.535615E+00       -1.028079E+02        7.559359E-01
  65        5.482530E-06       -5.140393E+00        4.535621E+00       -1.028079E+02        7.559368E-01
  66        2.954760E-06       -5.140393E+00        4.535624E+00       -1.028079E+02        7.559373E-01
  67        1.627288E-06       -5.140393E+00        4.535626E+00       -1.028079E+02        7.559376E-01
  68        9.095432E-07       -5.140393E+00        4.535626E+00       -1.028079E+02        7.559377E-01
  69        5.134055E-07       -5.140393E+00        4.535627E+00       -1.028079E+02        7.559378E-01
  70        2.916789E-07       -5.140393E+00        4.535627E+00       -1.028079E+02        7.559379E-01
  71        1.664056E-07       -5.140393E+00        4.535627E+00       -1.028079E+02        7.559379E-01
  72        9.519040E-08       -5.140393E+00        4.535628E+00       -1.028079E+02        7.559379E-01
  73        5.454412E-08       -5.140393E+00        4.535628E+00       -1.028079E+02        7.559379E-01
  74        3.128586E-08       -5.140393E+00        4.535628E+00       -1.028079E+02        7.559379E-01
  75        1.795590E-08       -5.140393E+00        4.535628E+00       -1.028079E+02        7.559379E-01
  76        1.030871E-08       -5.140393E+00        4.535628E+00       -1.028079E+02        7.559379E-01
  77        5.919166E-09       -5.140393E+00        4.535628E+00       -1.028079E+02        7.559379E-01
 value function iteration: V-type (constrained)
iter               distv             distgvk             distgvb                kmin                kmax               bkmin               bkmax
================================================================================================================================================
   1        7.821928E+00        6.000000E+00        4.195535E+00        5.000000E-02        6.000000E+00       -1.260671E+01        9.660000E-01
   2        1.048773E+00        2.985441E+00        2.538743E+00        5.000000E-02        6.000000E+00       -1.260671E+01        9.660000E-01
   3        1.768183E+00        2.737524E+00        2.216284E+00        5.000000E-02        6.000000E+00       -1.104107E+01        9.660000E-01
   4        3.314674E-01        1.778527E+00        1.634650E+00        5.000000E-02        6.000000E+00       -1.104107E+01        9.660000E-01
   5        1.816899E+00        2.912511E+00        2.645358E+00        5.000000E-02        6.000000E+00       -1.437903E+01        9.660000E-01
   6        1.822699E-01        2.371728E+00        2.179864E+00        5.000000E-02        6.000000E+00       -1.300786E+01        9.660000E-01
   7        5.364557E-01        1.762971E+00        1.620353E+00        5.000000E-02        6.000000E+00       -1.300786E+01        9.660000E-01
   8        9.668403E-01        2.893652E+00        2.631606E+00        5.000000E-02        6.000000E+00       -1.300786E+01        9.660000E-01
   9        1.723891E-01        2.514646E+00        2.311220E+00        5.000000E-02        6.000000E+00       -1.300786E+01        9.660000E-01
  10        1.264954E-01        2.282844E+00        2.098170E+00        5.000000E-02        6.000000E+00       -1.370640E+01        9.660000E-01
  11        1.830760E-01        9.465052E-01        8.699364E-01        5.000000E-02        6.000000E+00       -1.300786E+01        9.660000E-01
  12        6.017924E-02        7.226877E-01        6.642249E-01        5.000000E-02        6.000000E+00       -1.300786E+01        9.660000E-01
  13        8.005541E-02        2.873010E+00        2.616555E+00        5.000000E-02        6.000000E+00       -1.300786E+01        9.660000E-01
  14        4.269611E-02        2.885996E+00        2.626024E+00        5.000000E-02        6.000000E+00       -1.300786E+01        9.660000E-01
  15        2.774308E-02        2.885996E+00        2.626024E+00        5.000000E-02        6.000000E+00       -1.300786E+01        9.660000E-01
  16        1.850314E-02        1.587438E+00        1.459019E+00        5.000000E-02        6.000000E+00       -1.300786E+01        9.660000E-01
  17        2.357705E-02        3.863462E-01        3.550921E-01        5.000000E-02        6.000000E+00       -1.300786E+01        9.660000E-01
