 Start!

****************************************************
Bisection initization at point A:    0.8000   0.7000
****************************************************

 value function iteration: W-type (unconstrained)
iter               distw             distgwk                kmin                kmax
 117        4.645710E-08        5.466627E-12        8.183183E-01        6.000000E+00
 118        4.013896E-08        1.875344E-11        8.183183E-01        6.000000E+00
 119        3.468006E-08        3.125056E-11        8.183183E-01        6.000000E+00
 120        2.996359E-08        0.000000E+00        8.183183E-01        6.000000E+00
 121        2.588854E-08        1.875344E-11        8.183183E-01        6.000000E+00
 122        2.236771E-08        2.356337E-11        8.183183E-01        6.000000E+00
 123        1.932568E-08        2.356337E-11        8.183183E-01        6.000000E+00
 124        1.669741E-08        7.347145E-11        8.183183E-01        6.000000E+00
 125        1.442658E-08        1.025016E-10        8.183183E-01        6.000000E+00
 126        1.246457E-08        3.353007E-11        8.183183E-01        6.000000E+00
 127        1.076938E-08        6.971312E-12        8.183183E-01        6.000000E+00
 128        9.304756E-09        1.313172E-12        8.183183E-01        6.000000E+00
 minimum saving policy for unconstrained firm (W-type)
iter                dist               bwmin               bwmax               bkmin               bkmax
========================================================================================================
   1        5.190849E+00       -5.190849E+00        1.760439E+00       -1.038170E+02        2.934065E-01
   2        4.096426E+00       -5.124609E+00        2.106314E+00       -1.024922E+02        3.510524E-01
   3        3.173136E-01       -5.124609E+00        2.423628E+00       -1.024922E+02        4.039380E-01
   4        2.005789E-01       -5.124609E+00        2.554411E+00       -1.024922E+02        4.257352E-01
   5        1.925558E-01       -5.124609E+00        2.561185E+00       -1.024922E+02        4.268642E-01
   6        1.741044E-01       -5.124609E+00        2.583077E+00       -1.024922E+02        4.305129E-01
   7        1.469424E-01       -5.124609E+00        2.617727E+00       -1.024922E+02        4.362878E-01
   8        1.314561E-01       -5.124609E+00        2.663062E+00       -1.024922E+02        4.438436E-01
   9        1.221039E-01       -5.124609E+00        2.717267E+00       -1.024922E+02        4.528779E-01
  10        1.161629E-01       -5.124609E+00        2.778756E+00       -1.024922E+02        4.631260E-01
  11        1.114751E-01       -5.124609E+00        2.846141E+00       -1.024922E+02        4.743569E-01
  12        1.069781E-01       -5.124609E+00        2.918215E+00       -1.024922E+02        4.863691E-01
  13        1.026939E-01       -5.124609E+00        2.993925E+00       -1.024922E+02        4.989875E-01
  14        9.857508E-02       -5.124609E+00        3.072361E+00       -1.024922E+02        5.120602E-01
  15        9.462647E-02       -5.124609E+00        3.152734E+00       -1.024922E+02        5.254557E-01
  16        9.083920E-02       -5.124609E+00        3.234365E+00       -1.024922E+02        5.390608E-01
  17        8.720162E-02       -5.124609E+00        3.316668E+00       -1.024922E+02        5.527781E-01
  18        8.291664E-02       -5.124609E+00        3.399145E+00       -1.024922E+02        5.665241E-01
  19        7.959998E-02       -5.124609E+00        3.458940E+00       -1.024922E+02        5.764901E-01
  20        7.325957E-02       -5.124609E+00        3.500621E+00       -1.024922E+02        5.834368E-01
  21        7.032918E-02       -5.124609E+00        3.546128E+00       -1.024922E+02        5.910214E-01
  22        6.751470E-02       -5.124609E+00        3.590202E+00       -1.024922E+02        5.983670E-01
  23        6.480152E-02       -5.124609E+00        3.636802E+00       -1.024922E+02        6.061337E-01
  24        6.220786E-02       -5.124609E+00        3.683769E+00       -1.024922E+02        6.139615E-01
  25        5.971636E-02       -5.124609E+00        3.730666E+00       -1.024922E+02        6.217777E-01
  26        5.732242E-02       -5.124609E+00        3.779173E+00       -1.024922E+02        6.298622E-01
  27        5.502598E-02       -5.124609E+00        3.826199E+00       -1.024922E+02        6.376999E-01
  28        5.282231E-02       -5.124609E+00        3.873855E+00       -1.024922E+02        6.456425E-01
  29        5.070467E-02       -5.124609E+00        3.922120E+00       -1.024922E+02        6.536867E-01
  30        4.702497E-02       -5.124609E+00        3.968584E+00       -1.024922E+02        6.614306E-01
  31        4.514397E-02       -5.124609E+00        4.007917E+00       -1.024922E+02        6.679861E-01
  32        4.333821E-02       -5.124609E+00        4.036961E+00       -1.024922E+02        6.728269E-01
  33        4.160468E-02       -5.124609E+00        4.065691E+00       -1.024922E+02        6.776151E-01
  34        3.994049E-02       -5.124609E+00        4.095399E+00       -1.024922E+02        6.825664E-01
  35        3.834206E-02       -5.124609E+00        4.124055E+00       -1.024922E+02        6.873424E-01
  36        3.680806E-02       -5.124609E+00        4.153340E+00       -1.024922E+02        6.922234E-01
  37        3.533480E-02       -5.124609E+00        4.182074E+00       -1.024922E+02        6.970124E-01
  38        3.391967E-02       -5.124609E+00        4.211795E+00       -1.024922E+02        7.019659E-01
  39        3.256244E-02       -5.124609E+00        4.241057E+00       -1.024922E+02        7.068429E-01
  40        3.125977E-02       -5.124609E+00        4.269608E+00       -1.024922E+02        7.116014E-01
  41        3.000890E-02       -5.124609E+00        4.297639E+00       -1.024922E+02        7.162732E-01
  42        2.843929E-02       -5.124609E+00        4.326078E+00       -1.024922E+02        7.210131E-01
  43        2.730172E-02       -5.124609E+00        4.350830E+00       -1.024922E+02        7.251384E-01
  44        2.620965E-02       -5.124609E+00        4.369132E+00       -1.024922E+02        7.281887E-01
